Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,Neighborhood,Condition1,Condition2,GrLivArea,TotalBsmtSF,GarageArea,OverallQual,OverallCond,YearBuilt,CentralAir,Fireplaces,PoolArea,YrSold,MoSold,SaleCondition,SalePrice,UnitPrice,NeighborhoodAvgUnitPrice
25,20,RL,69.0,8246,Pave,NA,Sawyer,Norm,Norm,1060,1060,270,5,8,1968,1,1,0,2010,5,Normal,154000,145.28301886792454,117.85616299660873
26,20,RL,110.0,14230,Pave,NA,NridgHt,Norm,Norm,1600,1566,890,8,5,2007,1,1,0,2009,7,Normal,256300,160.1875,164.57805723210188
27,20,RL,60.0,7200,Pave,NA,NAmes,Norm,Norm,900,900,576,5,7,1951,1,0,0,2010,5,Normal,134800,149.77777777777777,116.08938532777013
28,20,RL,98.0,11478,Pave,NA,NridgHt,Norm,Norm,1704,1704,772,8,5,2007,1,1,0,2010,5,Normal,306000,179.57746478873239,164.57805723210188
29,20,RL,47.0,16321,Pave,NA,NAmes,Norm,Norm,1600,1484,319,5,6,1957,1,2,0,2006,12,Normal,207500,129.6875,116.08938532777013
30,30,RM,60.0,6324,Pave,NA,BrkSide,Feedr,RRNn,520,520,240,4,6,1927,0,0,0,2008,5,Normal,68500,131.73076923076923,105.96680854866048
31,70,C (all),50.0,8500,Pave,Pave,IDOTRR,Feedr,Norm,1317,649,250,4,4,1920,0,0,0,2008,7,Normal,40000,30.372057706909644,89.1360425104863
32,20,RL,69.0,8544,Pave,NA,Sawyer,Norm,Norm,1228,1228,271,5,6,1966,1,0,0,2008,6,Normal,149350,121.62052117263843,117.85616299660873
33,20,RL,85.0,11049,Pave,NA,CollgCr,Norm,Norm,1234,1234,484,8,5,2007,1,0,0,2008,1,Normal,179900,145.78606158833063,136.78367951579068
34,20,RL,70.0,10552,Pave,NA,NAmes,Norm,Norm,1700,1398,447,5,5,1959,1,1,0,2010,4,Normal,165500,97.3529411764706,116.08938532777013
35,120,RL,60.0,7313,Pave,NA,NridgHt,Norm,Norm,1561,1561,556,9,5,2005,1,1,0,2007,8,Normal,277500,177.7706598334401,164.57805723210188
36,60,RL,108.0,13418,Pave,NA,NridgHt,Norm,Norm,2452,1117,691,8,5,2004,1,1,0,2006,9,Normal,309000,126.01957585644372,164.57805723210188
37,20,RL,112.0,10859,Pave,NA,CollgCr,Norm,Norm,1097,1097,672,5,5,1994,1,0,0,2009,6,Normal,145000,132.17866909753874,136.78367951579068
38,20,RL,74.0,8532,Pave,NA,NAmes,Norm,Norm,1297,1297,498,5,6,1954,1,1,0,2009,10,Normal,153000,117.96453353893601,116.08938532777013
39,20,RL,68.0,7922,Pave,NA,NAmes,Norm,Norm,1057,1057,246,5,7,1953,1,0,0,2010,1,Abnorml,109000,103.12204351939451,116.08938532777013
40,90,RL,65.0,6040,Pave,NA,Edwards,Norm,Norm,1152,0,0,4,5,1955,0,0,0,2008,6,AdjLand,82000,71.18055555555556,101.83295816841985
41,20,RL,84.0,8658,Pave,NA,NAmes,Norm,Norm,1324,1088,440,6,5,1965,1,1,0,2006,12,Abnorml,160000,120.84592145015105,116.08938532777013
42,20,RL,115.0,16905,Pave,NA,Timber,Norm,Norm,1328,1350,308,5,6,1959,1,2,0,2007,7,Normal,170000,128.0120481927711,139.76648322039009
43,85,RL,69.0,9180,Pave,NA,SawyerW,Norm,Norm,884,840,504,5,7,1983,1,0,0,2007,12,Normal,144000,162.89592760180994,119.70442421965492
44,20,RL,69.0,9200,Pave,NA,CollgCr,Norm,Norm,938,938,308,5,6,1975,1,0,0,2008,7,Normal,130250,138.8592750533049,136.78367951579068
45,20,RL,70.0,7945,Pave,NA,NAmes,Norm,Norm,1150,1150,300,5,6,1959,1,0,0,2006,5,Normal,141000,122.6086956521739,116.08938532777013
46,120,RL,61.0,7658,Pave,NA,NridgHt,Norm,Norm,1752,1752,576,9,5,2005,1,1,0,2010,2,Normal,319900,182.59132420091325,164.57805723210188
47,50,RL,48.0,12822,Pave,NA,Mitchel,Norm,Norm,2149,1434,670,7,5,2003,1,1,0,2009,8,Abnorml,239686,111.53373662168451,126.01744863615829
48,20,FV,84.0,11096,Pave,NA,Somerst,Norm,Norm,1656,1656,826,8,5,2006,1,0,0,2007,7,Normal,249700,150.78502415458937,141.3359664248121
49,190,RM,33.0,4456,Pave,NA,OldTown,Norm,Norm,1452,736,0,4,5,1920,1,0,0,2009,6,Partial,113000,77.8236914600551,91.42728199677266
50,20,RL,66.0,7742,Pave,NA,Sawyer,Norm,Norm,955,955,386,5,7,1966,1,0,0,2007,1,Normal,127000,132.98429319371726,117.85616299660873
51,60,RL,69.0,13869,Pave,NA,Gilbert,Norm,Norm,1470,794,388,6,6,1997,1,0,0,2007,7,Normal,177000,120.40816326530613,119.11493125681703
52,50,RM,52.0,6240,Pave,NA,BrkSide,Norm,Norm,1176,816,528,6,6,1934,1,1,0,2006,9,Normal,114500,97.3639455782313,105.96680854866048
53,90,RM,110.0,8472,Grvl,NA,IDOTRR,RRNn,Norm,816,816,516,5,5,1963,0,0,0,2010,5,Normal,110000,134.80392156862746,89.1360425104863
54,20,RL,68.0,50271,Pave,NA,Veenker,Norm,Norm,1842,1842,894,9,5,1981,1,1,0,2006,11,Normal,385000,209.01194353963083,154.9809137507573
55,80,RL,60.0,7134,Pave,NA,NAmes,Norm,Norm,1360,384,572,5,5,1955,1,1,0,2007,2,Normal,130000,95.58823529411765,116.08938532777013
56,20,RL,100.0,10175,Pave,NA,NAmes,Norm,Norm,1425,1425,576,6,5,1964,1,1,0,2008,7,Normal,180500,126.66666666666667,116.08938532777013
57,160,FV,24.0,2645,Pave,Pave,Somerst,Norm,Norm,1739,970,480,8,5,1999,1,0,0,2009,8,Abnorml,172500,99.19493962047153,141.3359664248121
58,60,RL,89.0,11645,Pave,NA,CollgCr,Norm,Norm,1720,860,565,7,5,2004,1,0,0,2006,8,Normal,196500,114.24418604651163,136.78367951579068
59,60,RL,66.0,13682,Pave,NA,StoneBr,Norm,Norm,2945,1410,641,10,5,2006,1,1,0,2006,10,Partial,438780,148.99151103565364,165.40227532235397
60,20,RL,60.0,7200,Pave,NA,CollgCr,Norm,Norm,780,780,352,5,7,1972,1,0,0,2008,1,Normal,124900,160.12820512820514,136.78367951579068
61,20,RL,63.0,13072,Pave,NA,SawyerW,RRAe,Norm,1158,1158,576,6,5,2004,1,0,0,2006,5,Partial,158000,136.44214162348877,119.70442421965492
62,75,RM,60.0,7200,Pave,NA,IDOTRR,Norm,Norm,1111,530,288,5,7,1920,0,0,0,2007,3,Normal,101000,90.9090909090909,89.1360425104863
63,120,RL,44.0,6442,Pave,NA,NridgHt,Norm,Norm,1370,1370,484,8,5,2006,1,1,0,2007,10,Normal,202500,147.8102189781022,164.57805723210188
64,70,RM,50.0,10300,Pave,NA,OldTown,RRAn,Feedr,1710,576,480,7,6,1921,1,0,0,2010,4,Normal,140000,81.87134502923976,91.42728199677266
65,60,RL,69.0,9375,Pave,NA,CollgCr,Norm,Norm,2034,1057,645,7,5,1997,1,0,0,2009,2,Normal,219500,107.91543756145526,136.78367951579068
66,60,RL,76.0,9591,Pave,NA,NridgHt,Norm,Norm,2473,1143,852,8,5,2004,1,1,0,2007,10,Normal,317000,128.1843914274161,164.57805723210188
67,20,RL,69.0,19900,Pave,NA,NAmes,PosA,Norm,2207,1947,576,7,5,1970,1,1,0,2010,7,Normal,180000,81.55867693701857,116.08938532777013
68,20,RL,72.0,10665,Pave,NA,CollgCr,Norm,Norm,1479,1453,558,7,5,2003,1,0,0,2007,6,Normal,226000,152.80594996619337,136.78367951579068
69,30,RM,47.0,4608,Pave,NA,OldTown,Artery,Norm,747,747,220,4,6,1945,1,0,0,2010,6,Normal,80000,107.095046854083,91.42728199677266
70,50,RL,81.0,15593,Pave,NA,ClearCr,Norm,Norm,2287,1304,667,7,4,1953,1,1,0,2006,7,Normal,225000,98.38216003498033,124.24298891029504
71,20,RL,95.0,13651,Pave,NA,NAmes,Norm,Norm,2223,2223,516,7,6,1973,1,2,0,2007,2,Normal,244000,109.76158344579397,116.08938532777013
72,20,RL,69.0,7599,Pave,NA,Mitchel,Norm,Norm,845,845,360,4,6,1982,1,0,0,2007,6,Normal,129500,153.25443786982248,126.01744863615829
73,60,RL,74.0,10141,Pave,NA,Gilbert,Norm,Norm,1718,832,427,7,5,1998,1,1,0,2009,12,Normal,185000,107.68335273573923,119.11493125681703
74,20,RL,85.0,10200,Pave,NA,NAmes,Norm,Norm,1086,1086,490,5,7,1954,1,0,0,2010,5,Normal,144900,133.4254143646409,116.08938532777013
75,50,RM,60.0,5790,Pave,NA,OldTown,Norm,Norm,1605,840,379,3,6,1915,0,0,0,2010,5,Normal,107400,66.91588785046729,91.42728199677266
76,180,RM,21.0,1596,Pave,NA,MeadowV,Norm,Norm,988,462,297,4,5,1973,1,0,0,2009,11,Normal,91000,92.10526315789474,101.92620057171746
77,20,RL,69.0,8475,Pave,NA,NAmes,Norm,Norm,952,952,283,4,7,1956,1,0,0,2008,4,Normal,135750,142.59453781512605,116.08938532777013
78,50,RM,50.0,8635,Pave,NA,BrkSide,Norm,Norm,1285,672,240,5,5,1948,1,0,0,2008,1,Normal,127000,98.83268482490273,105.96680854866048
79,90,RL,72.0,10778,Pave,NA,Sawyer,Norm,Norm,1768,1768,0,4,5,1968,0,0,0,2010,4,Normal,136500,77.20588235294117,117.85616299660873
80,50,RM,60.0,10440,Pave,Grvl,OldTown,Norm,Norm,1230,440,440,5,6,1910,1,0,0,2009,5,Normal,110000,89.4308943089431,91.42728199677266
81,60,RL,100.0,13000,Pave,NA,NAmes,Norm,Norm,2142,896,509,6,6,1968,1,1,0,2009,6,Normal,193500,90.33613445378151,116.08938532777013
82,120,RM,32.0,4500,Pave,NA,Mitchel,Norm,Norm,1337,1237,405,6,5,1998,1,0,0,2006,3,Normal,153500,114.80927449513837,126.01744863615829
83,20,RL,78.0,10206,Pave,NA,Somerst,Norm,Norm,1563,1563,758,8,5,2007,1,1,0,2008,10,Normal,245000,156.7498400511836,141.3359664248121
84,20,RL,80.0,8892,Pave,NA,NAmes,Norm,Norm,1065,1065,461,5,5,1960,1,0,0,2007,7,Normal,126500,118.77934272300469,116.08938532777013
85,80,RL,69.0,8530,Pave,NA,Gilbert,Norm,Norm,1474,384,400,7,5,1995,1,1,0,2009,5,Normal,168500,114.31478968792402,119.11493125681703
86,60,RL,121.0,16059,Pave,NA,NoRidge,Norm,Norm,2417,1288,462,8,5,1991,1,1,0,2006,4,Normal,260000,107.57136946628052,132.27168705070494
87,60,RL,122.0,11911,Pave,NA,Gilbert,Norm,Norm,1560,684,400,6,5,2005,1,1,0,2009,3,Normal,174000,111.53846153846153,119.11493125681703
88,160,FV,40.0,3951,Pave,Pave,Somerst,Norm,Norm,1224,612,528,6,5,2009,1,0,0,2009,6,Partial,164500,134.3954248366013,141.3359664248121
89,50,C (all),105.0,8470,Pave,NA,IDOTRR,Feedr,Feedr,1526,1013,0,3,2,1915,0,0,0,2009,10,Abnorml,85000,55.70117955439056,89.1360425104863
90,20,RL,60.0,8070,Pave,NA,CollgCr,Norm,Norm,990,990,0,4,5,1994,1,0,0,2007,8,Normal,123600,124.84848484848484,136.78367951579068
91,20,RL,60.0,7200,Pave,NA,NAmes,Norm,Norm,1040,0,420,4,5,1950,1,0,0,2006,7,Normal,109900,105.67307692307692,116.08938532777013
92,20,RL,85.0,8500,Pave,NA,NAmes,Norm,Norm,1235,1235,480,5,3,1961,1,0,0,2006,12,Abnorml,98600,79.83805668016194,116.08938532777013
93,30,RL,80.0,13360,Pave,Grvl,Crawfor,Norm,Norm,964,876,432,5,7,1921,1,0,0,2009,8,Normal,163500,169.6058091286307,120.25482638137272
94,190,C (all),60.0,7200,Pave,NA,OldTown,Norm,Norm,2291,1214,506,6,6,1910,0,1,0,2007,11,Normal,133900,58.44609340899171,91.42728199677266
95,60,RL,69.0,9337,Pave,NA,CollgCr,Norm,Norm,1786,824,684,6,5,1997,1,0,0,2007,5,Normal,204750,114.64165733482643,136.78367951579068
96,60,RL,69.0,9765,Pave,NA,Gilbert,Norm,Norm,1470,680,420,6,8,1993,1,1,0,2009,4,Normal,185000,125.85034013605443,119.11493125681703
97,20,RL,78.0,10264,Pave,NA,CollgCr,Norm,Norm,1588,1588,472,7,5,1999,1,0,0,2006,8,Normal,214000,134.76070528967256,136.78367951579068
98,20,RL,73.0,10921,Pave,NA,Edwards,Norm,Norm,960,960,432,4,5,1965,1,0,0,2007,5,Normal,94750,98.69791666666667,101.83295816841985
99,30,RL,85.0,10625,Pave,NA,Edwards,Norm,Norm,835,458,366,5,5,1920,0,0,0,2010,5,Abnorml,83000,99.40119760479043,101.83295816841985
100,20,RL,77.0,9320,Pave,NA,NAmes,Norm,Norm,1225,950,0,4,5,1959,1,0,0,2010,1,Normal,128950,105.26530612244898,116.08938532777013
101,20,RL,69.0,10603,Pave,NA,NWAmes,Norm,Norm,1610,1610,480,6,7,1977,1,2,0,2010,2,Normal,205000,127.32919254658385,111.84834925438751
102,60,RL,77.0,9206,Pave,NA,SawyerW,Norm,Norm,1732,741,476,6,5,1985,1,1,0,2010,6,Normal,178000,102.77136258660508,119.70442421965492
103,90,RL,64.0,7018,Pave,NA,SawyerW,Norm,Norm,1535,0,410,5,5,1979,1,0,0,2009,6,Alloca,118964,77.50097719869707,119.70442421965492
104,20,RL,94.0,10402,Pave,NA,CollgCr,Norm,Norm,1226,1226,740,7,5,2009,1,0,0,2010,5,Normal,198900,162.23491027732464,136.78367951579068
105,50,RM,69.0,7758,Pave,NA,IDOTRR,Norm,Norm,1818,1040,240,7,4,1931,1,2,0,2007,6,Normal,169500,93.23432343234323,89.1360425104863
106,60,FV,75.0,9375,Pave,NA,Somerst,Norm,Norm,1992,1053,648,8,5,2003,1,1,0,2008,8,Normal,250000,125.50200803212851,141.3359664248121
107,30,RM,60.0,10800,Pave,Grvl,OldTown,Norm,Norm,1047,641,273,4,7,1885,1,0,0,2007,8,Normal,100000,95.51098376313276,91.42728199677266
108,20,RM,50.0,6000,Pave,NA,OldTown,Norm,Norm,789,789,250,5,5,1948,1,0,0,2008,4,Partial,115000,145.75411913814955,91.42728199677266
109,50,RM,85.0,8500,Pave,NA,IDOTRR,Artery,Norm,1517,793,0,5,7,1919,0,0,0,2007,8,Normal,115000,75.80751483190508,89.1360425104863
110,20,RL,105.0,11751,Pave,NA,NWAmes,Norm,Norm,1844,1844,546,6,6,1977,1,1,0,2010,1,Normal,190000,103.03687635574838,111.84834925438751
111,50,RL,75.0,9525,Pave,NA,Edwards,Norm,Norm,1855,994,325,6,4,1954,1,0,0,2006,10,Normal,136900,73.80053908355795,101.83295816841985
112,80,RL,69.0,7750,Pave,NA,Gilbert,Norm,Norm,1430,384,400,7,5,2000,1,1,0,2010,4,Normal,180000,125.87412587412588,119.11493125681703
113,60,RL,77.0,9965,Pave,NA,CollgCr,Norm,Norm,2696,1264,792,7,5,2007,1,1,0,2007,10,Partial,383970,142.4221068249258,136.78367951579068
114,20,RL,69.0,21000,Pave,NA,Crawfor,Norm,Norm,2259,1809,450,6,5,1953,1,2,0,2007,10,Abnorml,217000,96.06020362992474,120.25482638137272
115,70,RL,61.0,7259,Pave,NA,Crawfor,Norm,Norm,2320,1028,180,6,8,1945,1,1,0,2007,7,Normal,259500,111.85344827586206,120.25482638137272
116,160,FV,34.0,3230,Pave,Pave,Somerst,Norm,Norm,1458,729,440,6,5,1999,1,1,0,2007,6,Normal,176000,120.71330589849109,141.3359664248121
117,20,RL,69.0,11616,Pave,NA,Sawyer,Norm,Norm,1092,1092,288,5,5,1962,1,1,0,2009,9,Normal,139000,127.28937728937728,117.85616299660873
118,20,RL,74.0,8536,Pave,NA,Edwards,Norm,Norm,1125,1125,430,5,5,2006,1,0,0,2007,4,Partial,155000,137.77777777777777,101.83295816841985
119,60,RL,90.0,12376,Pave,NA,SawyerW,Norm,Norm,3222,1673,594,7,5,1990,1,2,0,2010,5,Normal,320000,99.31719428926132,119.70442421965492
120,60,RL,65.0,8461,Pave,NA,CollgCr,Norm,Norm,1456,728,390,6,5,2005,1,1,0,2006,7,Partial,163990,112.63049450549451,136.78367951579068
121,80,RL,69.0,21453,Pave,NA,ClearCr,Norm,Norm,988,938,540,6,5,1969,1,2,0,2006,10,Normal,180000,182.18623481781376,124.24298891029504
122,50,RM,50.0,6060,Pave,NA,IDOTRR,Norm,Norm,1123,732,264,4,5,1939,1,0,0,2007,6,Normal,100000,89.04719501335708,89.1360425104863
123,20,RL,75.0,9464,Pave,NA,NAmes,Norm,Norm,1080,1080,288,6,7,1958,1,0,0,2008,6,Normal,136000,125.92592592592592,116.08938532777013
124,120,RL,55.0,7892,Pave,NA,SawyerW,Norm,Norm,1199,1199,530,6,5,1993,1,0,0,2008,3,Normal,153900,128.35696413678065,119.70442421965492
125,20,RL,48.0,17043,Pave,NA,NWAmes,Norm,Norm,1586,1362,435,6,5,1979,1,1,0,2009,1,Normal,181000,114.12358133669609,111.84834925438751
126,190,RM,60.0,6780,Pave,NA,IDOTRR,Norm,Norm,754,520,0,6,8,1935,0,0,0,2006,6,Normal,84500,112.06896551724138,89.1360425104863
127,120,RL,69.0,4928,Pave,NA,NPkVill,Norm,Norm,958,1078,440,6,5,1976,1,1,0,2007,2,Normal,128000,133.61169102296452,116.72689144012816
128,45,RM,55.0,4388,Pave,NA,OldTown,Feedr,Norm,840,672,0,5,7,1930,1,1,0,2007,6,Normal,87000,103.57142857142857,91.42728199677266
129,60,RL,69.0,7590,Pave,NA,NAmes,PosN,Norm,1348,660,453,6,5,1966,1,1,0,2006,7,Normal,155000,114.98516320474778,116.08938532777013
130,20,RL,69.0,8973,Pave,NA,NAmes,Norm,Norm,1053,1008,750,5,7,1958,1,0,0,2006,7,Abnorml,150000,142.45014245014244,116.08938532777013
131,60,RL,88.0,14200,Pave,NA,NAmes,Norm,Norm,2157,924,487,7,6,1966,1,2,0,2006,5,Normal,226000,104.77515067222996,116.08938532777013
132,60,RL,69.0,12224,Pave,NA,Gilbert,Norm,Norm,2054,992,390,6,5,2000,1,1,0,2009,7,Normal,244000,118.79259980525804,119.11493125681703
133,20,RL,75.0,7388,Pave,NA,NAmes,Norm,Norm,1327,1063,624,5,6,1959,1,0,0,2007,7,Normal,150750,113.60211002260739,116.08938532777013
134,20,RL,69.0,6853,Pave,NA,Timber,Norm,Norm,1296,1267,471,8,5,2001,1,0,0,2009,6,Normal,220000,169.7530864197531,139.76648322039009
135,20,RL,78.0,10335,Pave,NA,Sawyer,Norm,Norm,1721,1461,440,5,6,1968,1,1,0,2006,7,Normal,180000,104.59035444509006,117.85616299660873
136,20,RL,80.0,10400,Pave,NA,NWAmes,Norm,Norm,1682,1304,530,7,6,1970,1,1,0,2008,5,Normal,174000,103.44827586206897,111.84834925438751
137,20,RL,69.0,10355,Pave,NA,NAmes,Norm,Norm,1214,1214,318,5,5,1967,1,1,0,2007,7,Normal,143000,117.79242174629324,116.08938532777013
138,90,RL,82.0,11070,Pave,NA,Mitchel,Norm,Norm,1959,1907,766,7,5,1988,1,0,0,2006,7,Family,171000,87.28943338437979,126.01744863615829
139,60,RL,73.0,9066,Pave,NA,CollgCr,Norm,Norm,1852,1004,660,8,5,1999,1,2,0,2008,12,Normal,230000,124.19006479481641,136.78367951579068
140,60,RL,65.0,15426,Pave,NA,CollgCr,Norm,Norm,1764,928,470,6,5,1997,1,0,0,2009,8,Normal,231500,131.2358276643991,136.78367951579068
141,20,RL,70.0,10500,Pave,NA,NAmes,Norm,Norm,864,864,0,4,5,1971,1,1,0,2010,4,Normal,115000,133.10185185185185,116.08938532777013
142,20,RL,78.0,11645,Pave,NA,CollgCr,Norm,Norm,1734,1734,660,7,5,2005,1,0,0,2006,1,Normal,260000,149.94232987312571,136.78367951579068
143,50,RL,71.0,8520,Pave,NA,NAmes,Artery,Norm,1385,910,720,5,4,1952,1,0,0,2010,6,Normal,166000,119.85559566787003,116.08938532777013
144,20,RL,78.0,10335,Pave,NA,CollgCr,Norm,Norm,1501,1490,577,7,5,1999,1,0,0,2009,6,Normal,204000,135.90939373750834,136.78367951579068
145,90,RM,70.0,9100,Pave,NA,Sawyer,RRAe,Norm,1728,1728,504,5,5,1963,1,0,0,2006,11,Abnorml,125000,72.33796296296296,117.85616299660873
146,160,RM,24.0,2522,Pave,NA,Edwards,Norm,Norm,1709,970,380,6,5,2004,1,0,0,2006,4,Normal,130000,76.06787595084845,101.83295816841985
147,30,RM,51.0,6120,Pave,NA,BrkSide,Norm,Norm,875,715,180,5,7,1931,1,0,0,2009,11,Normal,105000,120.0,105.96680854866048
148,60,RL,69.0,9505,Pave,NA,Gilbert,Norm,Norm,2035,884,434,7,5,2001,1,1,0,2010,5,Normal,222500,109.33660933660934,119.11493125681703
149,20,RL,63.0,7500,Pave,NA,SawyerW,Norm,Norm,1080,1080,0,7,5,2004,1,0,0,2008,4,Normal,141000,130.55555555555554,119.70442421965492
150,50,RM,69.0,6240,Pave,NA,BrkSide,Norm,Norm,1344,896,240,5,4,1936,1,0,0,2006,4,Normal,115000,85.56547619047619,105.96680854866048
151,20,RL,120.0,10356,Pave,NA,CollgCr,Norm,Norm,969,969,440,5,6,1975,1,0,0,2007,1,Normal,122000,125.90299277605779,136.78367951579068
152,20,RL,107.0,13891,Pave,NA,NridgHt,Norm,Norm,1710,1710,866,8,5,2007,1,1,0,2008,1,Partial,372402,217.77894736842106,164.57805723210188
153,60,RL,69.0,14803,Pave,NA,NWAmes,Norm,Norm,1993,825,495,6,5,1971,1,1,0,2006,6,Normal,190000,95.33366783743101,111.84834925438751
154,20,RL,69.0,13500,Pave,NA,ClearCr,Norm,Norm,1252,1602,564,6,7,1960,1,1,0,2008,3,Normal,235000,187.6996805111821,124.24298891029504
155,30,RM,84.0,11340,Pave,NA,OldTown,Norm,Norm,1200,1200,312,6,5,1923,1,0,0,2006,3,Family,125000,104.16666666666667,91.42728199677266
156,50,RL,60.0,9600,Pave,NA,Edwards,Artery,Norm,1096,572,0,6,5,1924,0,0,0,2008,4,Normal,79000,72.08029197080292,101.83295816841985
157,20,RL,60.0,7200,Pave,NA,NAmes,Norm,Norm,1040,0,625,5,7,1950,1,0,0,2006,6,Normal,109500,105.28846153846153,116.08938532777013
158,60,RL,92.0,12003,Pave,NA,Timber,Norm,Norm,1968,774,680,8,5,2009,1,1,0,2010,5,Partial,269500,136.9410569105691,139.76648322039009
159,60,FV,100.0,12552,Pave,NA,Somerst,Norm,Norm,1947,991,678,7,5,2004,1,1,0,2010,5,Normal,254900,130.91936312275294,141.3359664248121
160,60,RL,134.0,19378,Pave,NA,Gilbert,Norm,Norm,2462,1392,576,7,5,2005,1,1,0,2006,3,Partial,320000,129.97562956945572,119.11493125681703
161,20,RL,69.0,11120,Pave,NA,Veenker,Norm,Norm,1232,1232,516,6,6,1984,1,0,0,2008,6,Normal,162500,131.89935064935065,154.9809137507573
162,60,RL,110.0,13688,Pave,NA,NridgHt,Norm,Norm,2668,1572,726,9,5,2003,1,2,0,2008,3,Normal,412500,154.61019490254873,164.57805723210188
163,20,RL,95.0,12182,Pave,NA,NridgHt,Norm,Norm,1541,1541,532,7,5,2005,1,1,0,2010,5,Partial,220000,142.76443867618428,164.57805723210188
164,45,RL,55.0,5500,Pave,NA,OldTown,Norm,Norm,882,882,0,4,6,1956,1,0,0,2007,4,Normal,103200,117.00680272108843,91.42728199677266
